nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée de la Poeslerie;Cour du Foyer 25, Rue Général Huard;50800;VILLEDIEU-LES-POELES-ROUFFIGNY;0233693344;NORMANDIE;MANCHE;48.8292712717,-1.21839643313
Paléospace;Avenue Jean Moulin B.P. 6;14640;VILLERS-SUR-MER;0231817760;NORMANDIE;CALVADOS;49.3070612081,-0.000385070160039
Musée d'Art et d'Archéologie;Hôtel de la Sénatorerie 22, avenue de la Sénatorerie;23000;GUERET;0555520720;NOUVELLE-AQUITAINE;CREUSE;46.1633783939,1.86168687145
Musée Eugène Le Roy et des Vieux Métiers;Place Bertran de Born;24290;MONTIGNAC;0553518260;NOUVELLE-AQUITAINE;DORDOGNE;45.063871,1.163498
Musée de la Société d’Etudes Scientifiques et Achéologiques;2, Montée de l'Horloge;83300;DRAGUIGNAN;0494683832;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.540227,6.466305
Musée Historique des Tissus;34, Rue de la Charité;69002;LYON;0478384200;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.753117,4.831633
Musée d'Art et d'Histoire de Toul;25, Rue Gouvion Saint-Cyr;54200;TOUL;0383641338;GRAND EST;MEURTHE ET MOSELLE;48.678544,5.89134
Musée Vauban;7, Place de la Porte de Belfort;68600;NEUF-BRISACH;0389720393;GRAND EST;HAUT-RHIN;48.015722,7.525727
Musée EDF Electropolis;55, rue du Pâturage B.P. 52463;68057;MULHOUSE CEDEX;0389324850;GRAND EST;HAUT-RHIN;
Musée des Pays de Seine-et-Marne;17, Avenue de la Ferté-Sous-Jouarre;77750;SAINT-CYR-SUR-MORIN;0160244600;ÎLE-DE-France;SEINE ET MARNE;48.90803,3.18169
Musée de l'Armagnac;2, Rue Jules Ferry;32100;CONDOM;0562284717;OCCITANIE;GERS;43.960711,0.372844
Musée des Beaux-Arts de Nantes;10, Rue Georges Clémenceau;44000;NANTES;0251174500;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.219276,-1.547096
Musée du Pays Rabastinois;Hôtel de La Fite 2, Rue Amédée Clausade;81800;RABASTENS;0563406565;OCCITANIE;TARN;43.8337179111,1.69697473698
Musée Calvet (et musée Lapidaire);65, Rue Joseph Vernet;84000;AVIGNON;0490863384;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.946985,4.803388
Musée de Saint-Maur - Villa Médicis;5, Rue Saint-Hilaire;94210;LA VARENNE-SAINT-HILAIRE;0148863328;ÎLE-DE-France;VAL DE MARNE;48.792802,2.514062
Musée National Adrien Dubouché - Cité de la Céramique Sèvres & Limoges;8 bis, Place Winston Churchill;87000;LIMOGES;0555330850;NOUVELLE-AQUITAINE;HAUTE VIENNE;45.831405,1.254207
Musée Municipal des Capucins;Hôtel de Ville B.P. 171;77527;COULOMMIERS cedex;0164651131;ÎLE-DE-France;SEINE ET MARNE;
Musée Municipal de Tonnerre;22, Rue Rougemont;89700;TONNERRE;0386550382;BOURGOGNE-FRANCHE-COMTE;YONNE;47.855191,3.97484
Musée - Parc Archéologique du Lac de Paladru;15, Place de l'Eglise;38850;CHARAVINES;0476557747;AUVERGNE-RHÔNE-ALPES;ISERE;45.42854,5.515787
Musée J.F. Oberlin;25, Montée Oberlin;67130;WALDERSBACH;0388973027;GRAND EST;BAS-RHIN;48.414759,7.214925
Musée Paul Arbaud;2 bis rue du Quatre-Septembre;13100;AIX-EN-PROVENCE;0442383895;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.525307,5.450165
Musée du Terroir;La Ferme du Champ Bressan 3928 Route des Alpes Le Bourg;71470;ROMENAY;0385304583;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.5407527997,5.13778374719
Forum Antique de Bavay;Allée Chanoine Henri Biévelet;59570;BAVAY;0359731550;HAUTS-DE-France;NORD;50.3076854397,3.80843098031
Musée de l'Hôtel Sandelin;14, Rue Carnot;62500;SAINT-OMER;0321380094;HAUTS-DE-France;PAS-DE-CALAIS;50.749007,2.254521
Musée Zadkine;100 bis, rue d'Assas;75006;PARIS;0155427720;ÎLE-DE-France;PARIS;48.843257,2.333892
Musée du Pays d'Ussel;12, rue Michelet;19200;USSEL;0555465469;NOUVELLE-AQUITAINE;CORREZE;45.546757,2.307535
Musée de Bressuire;Place de l'Hôtel de Ville;79300;BRESSUIRE;0549743224;NOUVELLE-AQUITAINE;DEUX-SEVRES;46.841771,-0.493169
Musée des Beaux-Arts;1, Rue de Verdun;11000;CARCASSONNE;0468777370;OCCITANIE;AUDE;43.212595,2.35536
Musée du Colombier;Rue Jean Mayodon;30100;ALES;0466863040;OCCITANIE;GARD;44.12932,4.080966
Musée des Alpilles;1, Place Favier;13210;SAINT-REMY-DE-PROVENCE;0490926824;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.789218,4.831075
Musée des Meilleurs Ouvriers de France;Place Etienne Dolet;18000;BOURGES;0248578245;CENTRE-VAL DE LOIRE;CHER;47.081888,2.398484
Musée du Château-Fort;Cour du château;08208;SEDAN Cedex;0324299880;GRAND EST;ARDENNES;
Musée National Picasso;Hôtel Salé 5, Rue de Thorigny;75003;PARIS;0185560036;ÎLE-DE-France;PARIS;48.8630306677,2.35966713643
Musée Historique ou du Vieux Libourne (Robin);;33500;LIBOURNE;;NOUVELLE-AQUITAINE;GIRONDE;44.91465,-0.244728
Musée du Liège et du Bouchon;Rue du Puits Saint Côme;47170;MEZIN;0553656816;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.056911,0.25639
Musée Soulages;Jardin du Foirail Avenue Victor Hugo;12000;RODEZ;0565738244;OCCITANIE;AVEYRON;44.3677869063,2.531363607
Carré d'Art Musée d'Art Contemporain de Nîmes;Place de la Maison Carrée;30031;NIMES Cedex 1;0466763570;OCCITANIE;GARD;
Musée Jean Lurcat et de la Tapisserie Contemporaine;4, Bd Arago;49100;ANGERS;0241241845;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.477759,-0.557052
Musée de l'Ecole Rurale en Bretagne;Kergroas;29560;TREGARVAN;0298260472;BRETAGNE;FINISTERE;48.244542,-4.225337
Musée du Sapeur Pompier d'Alsace;12-14 rue de Luppach;68480;VIEUX FERRETTE;0389686818;GRAND EST;HAUT-RHIN;47.504268,7.304624
Musée de la Folie Marco;30, Rue du Dr Sultzer;67140;BARR;0388089472;GRAND EST;BAS-RHIN;48.410166,7.451102
Grande Galerie de l'Evolution (Muséum National d'Histoire Naturelle);Jardin des Plantes 36, rue Geoffroy Saint-Hilaire;75005;PARIS;0140795479;ÎLE-DE-France;PARIS;48.844407753,2.350655453
Musée de la Ville;Quai François Truffaut;78180;MONTIGNY LE BRETONNEUX;0134522880;ÎLE-DE-France;YVELINES;48.782574,2.042599
Musée d'Archéologie Nationale (des origines à l'an mille) - Château de st-Germain-en-Laye;Château Place Charles de Gaulle;78105;SAINT-GERMAIN-EN-LAYE Cedex;0134516536;ÎLE-DE-France;YVELINES;
Musée des Arts du Cognac;Les Remparts Place de la Salle Verte;16100;COGNAC;0545362110;NOUVELLE-AQUITAINE;CHARENTE;45.6930431054,-0.342281931836
Musée Béarnais;Association Régionaliste de Pyrénées 7 avenue Henri Faisans;64000;PAU;0559823800;NOUVELLE-AQUITAINE;PYRÉNÉES ATLANTIQUES;43.3202428022,-0.349730360793
Musée Sainte-Croix;3 bis, Rue Jean Jaurès;86000;POITIERS;0549410753;NOUVELLE-AQUITAINE;VIENNE;46.581133,0.34448
Musée Municipal de la Maison-Dieu;6, Rue des Augustins;86500;MONTMORILLON;0549910232;NOUVELLE-AQUITAINE;VIENNE;46.421876,0.863517
Musée de la Castre;Le Suquet;06400;CANNES;0493385526;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.551506,7.010014
Musée Jean Cocteau Collection Séverin Wunderman;2, Quai de Monléon;06500;MENTON;0489815250;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.775097,7.506512
Musée de l'Annonciade;2, rue de l'Annonciade Place Georges Grammont;83990;SAINT-TROPEZ;0494178410;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.262061662,6.66341629782
Muséum d'histoire naturelle;;80000;AMIENS;;HAUTS-DE-France;SOMME;49.891485,2.296389
Musée d'Art et d'Histoire de l'Hôpital Sainte-Anne;1, Rue Cabanis;75014;PARIS;0145658541;ÎLE-DE-France;PARIS;48.830264,2.340376
Musée Municipal de Blasimon;Mairie de Blasimon;33540;BLASIMON;0556715212;NOUVELLE-AQUITAINE;GIRONDE;44.747676,-0.092939
Musée de la résistance et de la Déportation;La Citadelle Rue des Fusillés;25000;BESANCON;0381878312;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Musée du Faouët;1, Rue de Quimper;56320;LE FAOUET;0297231527;BRETAGNE;MORBIHAN;48.031817,-3.490833
Musée Saint-Nicolas;15, Rue Pasteur;35506;VITRE;0299750454;BRETAGNE;ILE ET VILAINE;
Musée d'Art Moderne et Contemporain de Strasbourg;1 place Hans Jean Arp;67000;STRASBOURG;0388233131;GRAND EST;BAS-RHIN;48.580058,7.736546
Musée du Vieux Château;Place de la Trémoille;53000;LAVAL;0253741230;PAYS DE LA LOIRE;MAYENNE;48.068827,-0.772298
Musée du Vignoble Nantais;82, Rue Pierre Abélard;44330;LE PALLET;0240809013;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.134414,-1.329883
Musée de la Pêche;Concarneau Cornouaille Agglomération 3, Rue Vauban;29900;CONCARNEAU;0298971020;BRETAGNE;FINISTERE;47.8961173122,-3.9073816698
Atelier - Musée du Chapeau;31, Rue Martouret;42140;CHAZELLES-SUR-LYON;0477942329;AUVERGNE-RHÔNE-ALPES;LOIRE;45.638304,4.394089
Familistère de Guise;265, Familistère Aile Droite;02120;GUISE;0323613536;HAUTS-DE-France;AISNE;49.903609,3.626512
Musée d'Archéologie;7, Rue des Cordeliers;39000;LONS-LE-SAUNIER;0384478845;BOURGOGNE-FRANCHE-COMTE;JURA;46.674422,5.555197
Musée Municipal d'Epernay;13, Avenue de Champagne;51200;EPERNAY;0326519031;GRAND EST;MARNE;49.042901,3.961379
Musée Zoologique de Strasbourg;29, Boulevard de la Victoire;67000;STRASBOURG;0390240485;GRAND EST;BAS-RHIN;48.582685,7.764696
Musée de la Résistance;Rue Boursault;10250;MUSSY-SUR-SEINE;0325384208;GRAND EST;AUBE;47.977391,4.498921
Musée de l'Histoire Vivante;31, Boulevard Théophile Sueur;93100;MONTREUIL-SOUS-BOIS;0148706162;ÎLE-DE-France;SEINE SAINT-DENIS;48.866151,2.469481
Collections de la Fondation de Coubertin;Domaine de Coubertin;78470;SAINT-REMY-LES-CHEVREUSE;0130856960;ÎLE-DE-France;YVELINES;48.701169,2.06008
Musée d'Ennery;59, Avenue Foch;75116;PARIS;0156525345;ÎLE-DE-France;PARIS;48.871887,2.282381
Musée Cognacq-Jay, Musée du XVIIIe siècle de la ville de Paris;8, Rue Elzévir;75003;PARIS;0140270721;ÎLE-DE-France;PARIS;48.858257,2.361524
Musée National d'Art Moderne (Centre National d'Art et de Culture Georges Pompidou);Place Georges Pompidou;75191;PARIS Cedex 04;0144781233;ÎLE-DE-France;PARIS;
Muséum d'Histoire Naturelle;Place du Vieux Marché;76600;LE HAVRE;0235413728;NORMANDIE;SEINE-MARITIME;49.487581,0.108279
Musée du Vieux Toulouse;Hôtel Dumay 7, Rue du May;31000;TOULOUSE;0562271150;OCCITANIE;HAUTE-GARONNE;43.5959709582,1.43229378001
Musée Municipal;Rue Madeleine Roch;84100;ORANGE;0490511760;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.135887,4.807526
Musée de la Légion Etrangère;Quartier Vienot - DHPLE B.P. 21355;13784;AUBAGNE Cedex;0442181241;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;
Musée des Beaux-Arts et d'Archéologie J. Dechelette;22, Rue Anatole France;42300;ROANNE;0477236877;AUVERGNE-RHÔNE-ALPES;LOIRE;46.034953,4.069842
La Cohue, Musée des Beaux-Arts de vannes;9 et 15 Place Saint-Pierre;56000;VANNES;0297016300;BRETAGNE;MORBIHAN;47.657693,-2.757556
Musée Municipal;Place Alexandre Godart;51000;CHALONS-EN-CHAMPAGNE;0326693853;GRAND EST;MARNE;48.956828,4.36382
Musée Antoine Lecuyer;28, Rue Antoine Lecuyer;02100;SAINT-QUENTIN;0323069398;HAUTS-DE-France;AISNE;49.849891,3.285398
Musée Jean Calvin;6, Place Aristide Briand;60400;NOYON;0344440359;HAUTS-DE-France;OISE;49.581666,2.998444
Musée du Château Henri IV;Rue Henri IV;47600;NERAC;0553652111;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.135039,0.340028
Musée des Beaux-Arts;14, Rue du Musée;49100;ANGERS;0241053800;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.469132,-0.554372
Musée de la Vigne et du Vin d'Anjou;Les Celliers de la Coudraye Place des Vignerons;49750;SAINT LAMBERT-DU-LATTAY;0241784275;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.2426647325,-0.667761115453
Musée Folklorique du Vieux Saint-Etienne;Hôtel de Villeneuve 13 bis, Rue Gambetta;42000;SAINT-ETIENNE;0477257432;AUVERGNE-RHÔNE-ALPES;LOIRE;45.4301225907,4.37830062526
Musée Benoît de Puydt;24, Rue du Musée de Puydt;59270;BAILLEUL;0328491270;HAUTS-DE-France;NORD;50.740715,2.734399
Musée d'Histoire Naturelle et de Géologie;19, rue de Bruxelles;59000;LILLE;0328553080;HAUTS-DE-France;NORD;50.626639,3.066546
Musée d'Art et d'Histoire Militaire;88, Rue St-Honoré;77300;FONTAINEBLEAU;0160746489;ÎLE-DE-France;SEINE ET MARNE;48.406893,2.698781
Musée des Traditions et Arts Normands;Château de Martainville;76116;MARTAINVILLE-EPREVILLE;0235234470;NORMANDIE;SEINE-MARITIME;49.458546,1.291942
Musée Joseph Abeilhé;Mairie de Marciac 19, Place de l'Hôtel de Ville;32230;MARCIAC;0562093803;OCCITANIE;GERS;43.5313710176,0.169580700883
Musée des Arts Décoratifs et du Design;Hôtel de Lalande 39, Rue Bouffard;33000;BORDEAUX;0556101400;NOUVELLE-AQUITAINE;GIRONDE;44.8579384389,-0.573595011059
Ecomusée du Marais Breton Vendéen;Le Daviaud;85550;LA BARRE-DE-MONTS;0251938484;PAYS DE LA LOIRE;VENDEE;46.875553,-2.102855
Musée Départemental des Arts Asiatiques;405, Promenade des Anglais Quartier Arénas;06200;NICE;0492293700;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.7122279855,7.23752896461
Musée Chintreuil;Hôtel de Ville 66, Rue Maréchal de Lattre de Tassigny;01190;PONT-DE-VAUX;0385514565;AUVERGNE-RHÔNE-ALPES;AIN;46.4316836316,4.96424452785
Musée du Chablais;Château de Sonnaz 2, Rue Michaud;74200;THONON-LES-BAINS;0450706949;AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;46.3412678337,6.50524347796
Musée Départemental Victor Schoelcher;24, Rue Peynier;97110;POINTE-A-PITRE -GUADELOUPE;0590820804;GUADELOUPE;GUADELOUPE;16.237697,-61.537737
MusVerre;76, Rue du général de Gaulle;59216;SARS-POTERIES;0359731616;HAUTS-DE-France;NORD;50.16662,4.037797
Musée Français de la Carte à Jouer;16, Rue Auguste Gervais;92130;ISSY-LES-MOULINEAUX;0141238360;ÎLE-DE-France;HAUTS DE SEINE;48.822771,2.273453
Musée de l'Hôtel-Dieu;1, Rue Thiers;78200;MANTES-LA-JOLIE;0134788660;ÎLE-DE-France;YVELINES;48.990874,1.719901
Musée de Borda;Mairie de Dax Service du musée Borda 14, Rue Saint Pierre B.P. 50344;40107;DAX Cedex;0558741291;NOUVELLE-AQUITAINE;LANDES;
Musée Municipal des Cordeliers;9, Rue Régnaud;17400;SAINT-JEAN-D'ANGELY;0546250972;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;45.94262,-0.523469
Musée de la Marine de Seine;Avenue Winston Churchill B.P. 3;76490;CAUDEBEC-EN-CAUX;0235959013;NORMANDIE;SEINE-MARITIME;49.5497184764,0.687731909353
Musée du Gévaudan;3, Rue de l'Epine;48000;MENDE;0466498595;OCCITANIE;LOZERE;44.518396,3.499291
Musée Murat;Place de Tolentino;46240;LABASTIDE MURAT;0565352363;OCCITANIE;LOT;44.646438,1.567198
Musée et site d'Olbia;3204 Route de l'Almanarre;83400;HYERES;0494655159;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.080197,6.123127
Juliobona, Musée Gallo-Romain de Lillebonne;Place Félix Faure;76170;LILLEBONNE;0232840207;NORMANDIE;SEINE-MARITIME;49.518194,0.536388
Musée Archéologique du Val d'Oise;Place du Château;95450;GUIRY-EN-VEXIN;0134674507;ÎLE-DE-France;VAL D'OISE;49.108004,1.848523
Musée Municipal;Ancien logis Abbatial Place Guillaume de Volpiano;27300;BERNAY;0232466323;NORMANDIE;EURE;49.1002170392,0.597556299077
Château de Bourdeilles;Bourdeilles;24310;BOURDEILLES;0553037336;NOUVELLE-AQUITAINE;DORDOGNE;45.316706,0.565746
Musée Militaire - Souvenir du Périgord;32, Rue des Farges;24000;PERIGUEUX;0553534736;NOUVELLE-AQUITAINE;DORDOGNE;45.183285,0.720943
Musée Départemental de la Poupée et du Jouet;Avenue du Général Leclerc;24300;NONTRON;0553562080;NOUVELLE-AQUITAINE;DORDOGNE;45.527035,0.660711
Galerie de Minéralogie et de Géologie (Muséum d'Histoire Naturelle);Jardin des Plantes 36, Rue Geoffroy Saint-Hilaire;75005;PARIS;0140795601;ÎLE-DE-France;PARIS;48.844407753,2.350655453
Musée du Septennat;6, rue du Château;58120;CHATEAU-CHINON;0386606762;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.06721,3.934311
Musée Henri Malartre;645, Rue du musée;69270;ROCHETAILLEE-SUR-SAONE;0478221880;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.845041,4.837455
Musée Alésia - Centre d'Interprétation;B.P. 49 1, Route des Trois Ormeaux;21150;ALISE-SAINTE-REINE;0380969623;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.5309324126,4.52615532844
Maison des Lumières Denis Diderot;1, Place Pierre Burelle;52200;LANGRES;0325868640;GRAND EST;HAUTE-MARNE;47.866417,5.331753
Musée Westercamp;3, rue du Musée;67160;WISSEMBOURG;0388059663;GRAND EST;BAS-RHIN;49.038815,7.944344
Musée de l'Automate;Esplanade Alain Chastagnol;46200;SOUILLAC;0565370707;OCCITANIE;LOT;44.8875694704,1.50529381889
Musée d'Art de Toulon;113, Boulevard du Maréchal Leclerc;83000;TOULON;0494368101;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.125971,5.927245
Musée Municipal;17, Rue de la Victoire;52100;SAINT-DIZIER;0325073150;GRAND EST;HAUTE-MARNE;48.637908,4.9485
Musée de Vendôme;Cloître de la Trinité;41100;VENDOME;0254772613;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.7958875456,1.08517010385
Musée Belmondo et de la Sculpture Figurative du XXè siècle;Château Buchillot 14, Rue de l'Abreuvoir;92100;BOULOGNE-BILLANCOURT;0155186901;ÎLE-DE-France;HAUTS DE SEINE;48.8364966292,2.23867632216
Musée Départemental de l'Ariège;Rue du Rocher;09000;FOIX;0534098383;OCCITANIE;ARIEGE;42.96592,1.605311
Musée Joseph Vaylet;Ancienne église St. Jean Baptiste 35, rue Droite;12500;ESPALION;0565441063;OCCITANIE;AVEYRON;44.5270610356,2.81719827673
Musée Sobirats;112, Rue du Collège;84200;CARPENTRAS;0490630492;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.054477,5.046269
Musée- Atelier de Paul Cézanne;9, Avenue Paul Cézanne;13090;AIX-EN-PROVENCE;0442210653;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.537816,5.446601
Musée de la Bresse - Domaine des Planons;Domaine des Planons Hameau de la Mulatière;01380;SAINT-CYR-SUR-MENTHON;0385363122;AUVERGNE-RHÔNE-ALPES;AIN;46.3161847468,4.97400450524
Musée Farcot;2, Place Farcot;28700;SAINVILLE;0237246006;CENTRE-VAL DE LOIRE;EURE ET LOIR;48.415612,1.879094
Musée du Grès de Puisaye;Château de Saint-Amand;58310;SAINT-AMAND-EN-PUISAYE;0386397497;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.53601,3.068383
Musée de la Vigne et du Vin;Château Pécauld B.P. 41;39600;ARBOIS;0384664045;BOURGOGNE-FRANCHE-COMTE;JURA;46.9334374908,5.75807141934
Musée de la Mine / Site Couriot;3, Boulevard Franchet d'Esperey;42000;SAINT-ETIENNE;0477438323;AUVERGNE-RHÔNE-ALPES;LOIRE;45.438944,4.376487
Musée de la Maille;RUE DE SAINT-ANDRE;42300;RIORGES;;AUVERGNE-RHÔNE-ALPES;LOIRE;46.036121,4.062607
Ecomusée des Monts d'Arrée - Moulins de Kerouat;Moulins de Kerouat;29450;COMMANA;0298688776;BRETAGNE;FINISTERE;48.415821,-4.006179
Musée d’Histoire de Bastia;Place du Donjon - Citadelle;20410;BASTIA;0495310912;CORSE;HAUTE-CORSE;42.6936,9.45102
Musée des Beaux-Arts et d'Archéologie;Place du Palais;52000;CHAUMONT;0325030199;GRAND EST;HAUTE-MARNE;48.112483,5.137336
Musée Municipal Saint-John Perse;9, rue de Nozière;97110;POINTE-A-PITRE;0590900192;GUADELOUPE;GUADELOUPE;16.236416,-61.535945
La Maison de l'Armateur;3, Quai de l'Ile (Quartier Saint-François);76600;LE HAVRE;0235190985;NORMANDIE;SEINE-MARITIME;49.4965610328,0.1402707121
Musée Archéologique de l'Oise;Les Marmousets;60120;VENDEUIL-CAPLY;0364588000;HAUTS-DE-France;OISE;49.627157,2.316919
Musée Archéologique Départemental de Jublains;13, Rue de la Libération;53160;JUBLAINS;0243581320;PAYS DE LA LOIRE;MAYENNE;48.255526,-0.496863
Musée Milcendeau Jean-Yole;Le Bois Durand;85300;SOULLANS;0251938484;PAYS DE LA LOIRE;VENDEE;46.778729,-1.906356
Musée des Beaux-Arts;Porte Marie de Bourgogne 6, boulevard Perpreuil;21200;BEAUNE;0380249870;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.0092507244,4.88350689515
Musée des Arts et Traditions des Hautes-Côtes;1 PLACE DE LA FONTAINE;21220;GEVREY-CHAMBERTIN - Reulle Vergy;0380614095;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.227404,4.964358
Musée de l'Ecole de Nancy;36-38, rue du Sergent Blandan;54000;NANCY;0383401486;GRAND EST;MEURTHE ET MOSELLE;48.680494,6.166351
Musée de l'Affiche - médiathèque;7/9, Avenue Foch;52000;CHAUMONT;;GRAND EST;HAUTE-MARNE;48.110338,5.130124
Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris;7, Avenue Velasquez;75008;PARIS;0153962150;ÎLE-DE-France;PARIS;48.879693,2.312194
Musée Camille Pissarro;17, Rue du Château;95300;PONTOISE;0130380240;ÎLE-DE-France;VAL D'OISE;49.048396,2.099887
Musée de la Guerre et de la Libération;Fort du Roule Montée des Résistants;50100;CHERBOURG-EN-COTENTIN;0233201412;NORMANDIE;MANCHE;49.6331832109,-1.6338586934
Musée de l'Ile d'Oléron;9, Place Gambetta;17310;ST-PIERRE D'OLERON;0546750516;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;45.942781,-1.307498
Cité International de la Bande Dessinée et de l'Image - Musée de la Bande Dessinée;121, Rue de Bordeaux B.P. 72308;16023;ANGOULEME Cedex;0545386565;NOUVELLE-AQUITAINE;CHARENTE;
Musée Despiau-Wlérick;6, Place Marguerite de Navarre;40000;MONT-DE-MARSAN;0558750045;NOUVELLE-AQUITAINE;LANDES;43.892599,-0.498893
Musée d'Aquitaine;20, Cours Pasteur;33000;BORDEAUX;0556015100;NOUVELLE-AQUITAINE;GIRONDE;44.835543,-0.575205
Musée Municipal François Pompon;3, Place du Docteur Roclore;21210;SAULIEU;0380641951;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.279459,4.229714
Musée Savoisien;Square de Lannoy de Bissy;73000;CHAMBERY;0479334448;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.571429,5.875245
Musée Départemental d'Art Ancien et Contemporain;1, Place Lagarde;88011;EPINAL Cedex;0329822033;GRAND EST;VOSGES;
MUDO - Musée de l'Oise;1, Rue du musée;60000;BEAUVAIS;0344104050;HAUTS-DE-France;OISE;49.432788,2.080444
Sèvres - Cité de la Céramique;2, Place de la Manufacture;92310;SEVRES;0146292200;ÎLE-DE-France;HAUTS DE SEINE;48.821124,2.205793
Musée Labenche d'Art et d'Histoire;26 bis, boulevard Jules Ferry;19100;BRIVE-LA-GAILLARDE;0555181770;NOUVELLE-AQUITAINE;CORREZE;45.158512,1.535911
Musée Départemental de la Tapisserie;B.P. 89 Avenue des Lissiers;23200;AUBUSSON;0555830830;NOUVELLE-AQUITAINE;CREUSE;45.9607828765,2.18895520996
Musée d'Archéologie Sous-Marine;Mairie;66660;PORT-VENDRES;0468820103;OCCITANIE;PYRENEES ORIENTALES;42.517253,3.104504
Musée Archéologique de Ruscino;Château Roussillon;66000;PERPIGNAN;0468674717;OCCITANIE;PYRENEES ORIENTALES;42.708868,2.946321
Musée du Pays de Guérande et de la Porte Saint Michel;Porte Saint-Michel CS 85139;44351;GUERANDE Cedex;0228550505;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;
Musée Louis Médard;71, Place Martyrs de la Résistance;34400;LUNEL;0467878395;OCCITANIE;HERAULT;43.675458,4.133656
Musée Municipal;4 bis, Rue Lucien Salette;34110;FRONTIGNAN-LA-PEYRADE;0467185005;OCCITANIE;HERAULT;43.446991,3.754951
Musée Lapidaire et Archéologie;Rue des Saintes Maries;84200;CARPENTRAS;0490630492;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.055917,5.046727
Musée et Site Archéologiques;Place de la Déesse Soïo;07130;SOYONS;0475608886;AUVERGNE-RHÔNE-ALPES;ARDECHE;44.887803,4.850777
Musée Municipal d'Hazebrouck;Ancien Couvent des Augustins Place Georges Degroote;59190;HAZEBROUCK;0328434446;HAUTS-DE-France;NORD;50.716080125,2.53498842642
Musée des Antiquités de la Seine-Maritime;198, Rue Beauvoisine;76000;ROUEN;0235985510;NORMANDIE;SEINE-MARITIME;49.447268,1.098932
Musée des Vallées Cévenoles;;30270;SAINT-JEAN DU GARD;0466851048;OCCITANIE;GARD;44.104125,3.885608
Musée des Transports et des Communications;93, avenue Jules Julien;31400;TOULOUSE;0561550210;OCCITANIE;HAUTE-GARONNE;43.577026,1.450601
Musée de l'Abbaye/Donations Guy Bardone - René Genis;3, Place de l'Abbaye;39200;SAINT-CLAUDE;0384381260;BOURGOGNE-FRANCHE-COMTE;JURA;46.386209,5.865239
Musée des Beaux-Arts;Place Philibert de Châlon;39000;LONS-LE-SAUNIER;0384476430;BOURGOGNE-FRANCHE-COMTE;JURA;46.675825,5.553897
Musée de l'Imprimerie et de la Communication Graphique;13, Rue de la Poulaillerie;69002;LYON;0437236534;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.764219,4.834752
Musée de Bretagne;46, boulevard Magenta CS 51138;35011;RENNES Cedex;0223406670;BRETAGNE;ILE ET VILAINE;
Musée de Préhistoire;Hôtel de Ville Place de la Mairie;82140;SAINT-ANTONIN-NOBLE-VAL;0563682352;OCCITANIE;TARN-ET-GARONNE;44.152188201,1.74194876605
